"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0034470" "BP" "GO:0034470" "ncRNA processing" "184/2723" "400/18862" 5.45766909166407e-53 3.04786011182658e-50 1.81852667724156e-50 "LOC102724159/TRMT6/XRN2/SMAD2/TSR2/RRP1B/PWP2/PIN4/RPS21/NOP56/RTRAF/RPP38/NSUN6/RTCB/DIS3/FTSJ1/RIOK1/RPS24/NGDN/EIF6/BMS1/SNU13/CSTF2/RPL35/RRP12/MDN1/PDCD11/DICER1/UTP14A/MAK16/ESF1/PES1/NOP9/DKC1/NAF1/UTP6/UTP14C/NOL10/MTREX/UTP18/PRKDC/UTP3/EXOSC3/MRPS11/METTL3/UTP4/DDX17/KAT2B/NOB1/MPHOSPH10/FCF1/MPHOSPH6/TP53RK/RPL14/EXOSC8/RPP25L/RPL7L1/PUSL1/RPL7A/EXOSC7/RIOK2/SUV39H1/RPF2/RPS19/UTP20/DDX18/RRS1/NOP10/IMP4/NOLC1/NOC4L/DDX51/AGO4/ALKBH8/RPL7/AGO1/FBLL1/FTSJ3/UTP11/AGO2/METTL1/GTPBP4/POP4/NOL11/GAR1/SENP3/SRRT/RPS16/KARS1/CPSF1/BOP1/HNRNPA2B1/NOP53/RPL27/EMG1/RPL10A/IL6/MRM2/EXOSC4/RPS6/INTS4/DDX56/RPL26/NOL6/EXOSC2/WDR43/SMAD3/WDR75/TRMT12/WDR46/NHP2/SARS1/NSUN5/NSUN2/RPS15/WDR74/WDR3/RPS28/BYSL/ZCCHC8/RPS25/PIH1D1/TRMT112/GTF2H5/NOP2/LSM6/NUDT16/DDX21/SBDS/IMP3/UTP23/TSR1/LARP7/AGO3/TFB2M/DDX49/KRI1/QTRT1/TRMT1L/TPRKB/STAT3/RRP15/NIFK/RPS14/RRP9/RNASEL/SIRT7/PA2G4/SSB/DHX37/DDX1/TRMT1/NAT10/RPS9/RPL11/DDX47/KRR1/RPS2/TBL3/ERCC2/DDX10/NSUN3/POLR3K/TARBP2/NSA2/DDX54/CTU1/DUS1L/RPS8/HEATR1/FBL/THUMPD3/EXOSC5/NVL/OSGEPL1/WDR12/NOP58/RPL5/EXOSC10/ZBTB8OS/NSUN4/LIN28A/MRTO4/RPF1" 184
"GO:0000956" "BP" "GO:0000956" "nuclear-transcribed mRNA catabolic process" "125/2723" "208/18862" 1.05453465708102e-52 5.3983386653739e-50 3.22095585610184e-50 "XRN2/RPL3/RPS4X/RPS21/UPF2/DIS3/HELZ2/NCBP1/RPL36A/RPS24/RPL35/RPS29/MAGOHB/RPS10/PATL1/RPL12/RPS3A/RPL23/RNPS1/LSM5/GSPT1/RPS15A/RPS12/WDR61/RPS3/RPL21/RPL37/EXOSC3/RPLP2/ZFP36L2/LSM3/RPL30/RPL9/RPL14/EXOSC8/RPL7A/EXOSC7/RPL31/RPS19/RPS5/PPP2CA/LSM2/RPL22/RPL7/AGO1/ETF1/AGO2/POLR2G/RPL18A/MAGOH/RPL34/RPS16/RPL37A/RPL27/RPL10A/RPLP1/SKIV2L/EXOSC4/DHX36/RPS6/PABPC1/RPL28/RPL26/EXOSC2/EIF3E/RPS20/RPL13/RPS18/LSM4/TENT4A/RPS15/RPS28/RPL18/RPS25/RPL24/RPS11/RPL8/MLH1/RPL15/DIS3L2/LSM7/LSM6/CNOT6L/RPL23A/EIF4G1/RPL13A/RPL4/DDX5/CNOT4/UPF1/CNOT1/RPL27A/RPL19/BTG2/RPS13/RPS14/RPL29/DDX6/RPS23/RPL32/SSB/XRN1/CNOT3/RPS9/RPL11/ATM/UBA52/RPS2/CNOT9/RPL6/RPL36/RPS8/RPL38/RPLP0/POLR2D/RPS27A/EXOSC5/RPSA/RC3H1/NCBP2/RPL5/EXOSC10/RBM8A/CSDE1/MRTO4" 125
"GO:0000375" "BP" "GO:0000375" "RNA splicing, via transesterification reactions" "177/2723" "386/18862" 9.74940068704495e-51 4.60696680157824e-48 2.74877839613688e-48 "CELF4/SNRPB2/CTNNBL1/DHX35/SON/GTF2F2/RALY/DHX15/DYRK1A/SRSF5/HTATSF1/SMU1/RBM25/SRSF6/SNRPD3/SNRPD1/U2AF1L5/CCAR1/SRPK3/PRMT5/SRPK1/NCBP1/HNRNPH2/PHF5A/RBMX/METTL14/AQR/SNU13/CSTF2/CDC5L/C1QBP/MAGOHB/SNW1/SRSF3/CSTF2T/NONO/AAR2/PRPF19/STRAP/CSTF1/POLR2F/HNRNPK/RNPS1/LSM5/SNRPC/CLNS1A/PLRG1/DHX8/POLR2E/HSPA8/SF3B5/LSM8/MTREX/DDX39A/FMR1/CPSF3/LUC7L2/SNRPB/CPSF2/POLR2L/METTL3/DDX17/POLR2B/LSM3/MPHOSPH10/GEMIN6/SAP18/RBM10/MFAP1/SRSF7/SF3B2/POLR2C/RBM41/DDX39B/MYOD1/SF3B6/PABPN1/SNRNP40/LSM2/SYNCRIP/POLR2G/SLU7/FUS/RBM15B/SNRPA/SF3A3/SNIP1/MAGOH/SRRT/FXR2/SF3B3/PRPF8/SRSF9/CPSF1/PPIE/HNRNPA2B1/FXR1/NUP98/HNRNPC/DDX41/PABPC1/U2AF2/SF1/SRSF2/HNRNPF/EFTUD2/CPSF7/LSM4/RNPC3/HNRNPH3/BCAS2/UBL5/ZCCHC8/HNRNPM/TRA2A/SRSF1/JMJD6/SNRNP70/LSM7/LSM6/RBM14/PTBP1/SRRM2/WDR83/LARP7/HNRNPA1/DDX5/DDX46/PRDX6/SRPK2/SNRPA1/PRPF40A/HNRNPH1/POLR2J/DHX9/NUDT21/ALYREF/GTF2F1/DDX23/DDX1/NCL/POLR2I/HNRNPA3/PRPF31/SNRPG/HNRNPU/SNRPD2/HNRNPL/SNRPE/CELF1/HNRNPA0/CWC27/PCBP2/RSRC1/MBNL1/WDR33/POLR2D/SNRPF/DDX42/KHSRP/TRA2B/PTBP2/ELAVL1/SNRNP27/PCBP1/PPIH/YBX1/POLR2H/NCBP2/KHDRBS1/DDX20/HNRNPR/KDM1A/SRSF10/SRRM1/RBM8A/WDR77" 177
"GO:0008380" "BP" "GO:0008380" "RNA splicing" "202/2723" "481/18862" 2.57138498624101e-50 1.12828699789132e-47 6.73200189630918e-48 "CELF4/SNRPB2/CTNNBL1/DHX35/SON/GTF2F2/RRP1B/RALY/DHX15/DYRK1A/SRSF5/THOC2/HTATSF1/SMU1/RTRAF/RBM25/SRSF6/RTCB/SNRPD3/SNRPD1/U2AF1L5/CCAR1/SRPK3/PRMT5/SRPK1/NCBP1/HNRNPH2/PHF5A/RBMX/METTL14/AQR/SNU13/CSTF2/CDC5L/C1QBP/MAGOHB/SNW1/SRSF3/CSTF2T/NONO/AAR2/PRPF19/STRAP/CSTF1/POLR2F/SLC38A2/HNRNPK/RNPS1/LSM5/SNRPC/CLNS1A/PLRG1/DHX8/POLR2E/HSPA8/SF3B5/LSM8/MTREX/DDX39A/FMR1/CPSF3/LUC7L2/SNRPB/CPSF2/POLR2L/METTL3/DDX17/POLR2B/HNRNPLL/LSM3/MPHOSPH10/GEMIN6/SAP18/VIRMA/ZC3H13/RBM10/MFAP1/ACIN1/SRSF7/SF3B2/POLR2C/RBM41/DDX39B/MYOD1/SF3B6/PABPN1/PPP2CA/SNRNP40/LSM2/HSPA1A/RBM28/SYNCRIP/POLR2G/SLU7/FUS/RBM15B/SNRPA/SF3A3/SNIP1/MAGOH/SRRT/FXR2/SF3B3/PRPF8/SRSF9/CPSF1/PPIE/HNRNPA2B1/CDK12/FXR1/NUP98/HNRNPC/DDX41/PABPC1/U2AF2/SF1/SRSF2/HNRNPF/EFTUD2/CPSF7/LSM4/RNPC3/HNRNPH3/BCAS2/ZNF326/UBL5/ZCCHC8/HNRNPM/TRA2A/TTF2/SRSF1/THOC7/SCAF1/JMJD6/SNRNP70/FASTK/LSM7/LSM6/RBM14/SUPT6H/PTBP1/SRRM2/WDR83/LARP7/HNRNPA1/DDX5/DDX46/PRDX6/SRPK2/SNRPA1/PRPF40A/HNRNPH1/POLR2J/DHX9/RPS13/NUDT21/ALYREF/GTF2F1/DDX23/AKAP8L/DDX1/NCL/POLR2I/HNRNPA3/PRPF31/SNRPG/HNRNPU/SNRPD2/HNRNPL/DDX47/SNRPE/PRPF38B/CELF1/HNRNPA0/CWC27/PCBP2/RSRC1/MBNL1/WDR33/POLR2D/SNRPF/DDX42/KHSRP/TRA2B/PTBP2/ELAVL1/SNRNP27/PCBP1/PPIH/YBX1/POLR2H/NCBP2/KHDRBS1/DDX20/TARDBP/HNRNPR/ZBTB8OS/KDM1A/SRSF10/SRRM1/RBM8A/WDR77" 202
"GO:0000377" "BP" "GO:0000377" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" "175/2723" "383/18862" 6.79901623595805e-50 2.61039729609314e-47 1.55751148247407e-47 "CELF4/SNRPB2/CTNNBL1/DHX35/SON/GTF2F2/RALY/DHX15/DYRK1A/SRSF5/HTATSF1/SMU1/RBM25/SRSF6/SNRPD3/SNRPD1/U2AF1L5/CCAR1/SRPK3/PRMT5/SRPK1/NCBP1/HNRNPH2/PHF5A/RBMX/METTL14/AQR/SNU13/CSTF2/CDC5L/C1QBP/MAGOHB/SNW1/SRSF3/CSTF2T/NONO/AAR2/PRPF19/STRAP/CSTF1/POLR2F/HNRNPK/RNPS1/LSM5/SNRPC/CLNS1A/PLRG1/DHX8/POLR2E/HSPA8/SF3B5/LSM8/MTREX/DDX39A/FMR1/CPSF3/LUC7L2/SNRPB/CPSF2/POLR2L/METTL3/DDX17/POLR2B/LSM3/GEMIN6/SAP18/RBM10/MFAP1/SRSF7/SF3B2/POLR2C/RBM41/DDX39B/MYOD1/SF3B6/PABPN1/SNRNP40/LSM2/SYNCRIP/POLR2G/SLU7/FUS/RBM15B/SNRPA/SF3A3/SNIP1/MAGOH/SRRT/FXR2/SF3B3/PRPF8/SRSF9/CPSF1/PPIE/HNRNPA2B1/FXR1/NUP98/HNRNPC/DDX41/PABPC1/U2AF2/SF1/SRSF2/HNRNPF/EFTUD2/CPSF7/LSM4/RNPC3/HNRNPH3/BCAS2/UBL5/ZCCHC8/HNRNPM/TRA2A/SRSF1/JMJD6/SNRNP70/LSM7/LSM6/RBM14/PTBP1/SRRM2/WDR83/LARP7/HNRNPA1/DDX5/DDX46/PRDX6/SRPK2/SNRPA1/PRPF40A/HNRNPH1/POLR2J/DHX9/NUDT21/ALYREF/GTF2F1/DDX23/DDX1/NCL/POLR2I/HNRNPA3/PRPF31/SNRPG/HNRNPU/SNRPD2/HNRNPL/SNRPE/CELF1/HNRNPA0/CWC27/PCBP2/RSRC1/MBNL1/WDR33/POLR2D/SNRPF/DDX42/TRA2B/PTBP2/ELAVL1/SNRNP27/PCBP1/PPIH/YBX1/POLR2H/NCBP2/KHDRBS1/DDX20/HNRNPR/KDM1A/SRSF10/SRRM1/RBM8A/WDR77" 175
"GO:0000398" "BP" "GO:0000398" "mRNA splicing, via spliceosome" "175/2723" "383/18862" 6.79901623595805e-50 2.61039729609314e-47 1.55751148247407e-47 "CELF4/SNRPB2/CTNNBL1/DHX35/SON/GTF2F2/RALY/DHX15/DYRK1A/SRSF5/HTATSF1/SMU1/RBM25/SRSF6/SNRPD3/SNRPD1/U2AF1L5/CCAR1/SRPK3/PRMT5/SRPK1/NCBP1/HNRNPH2/PHF5A/RBMX/METTL14/AQR/SNU13/CSTF2/CDC5L/C1QBP/MAGOHB/SNW1/SRSF3/CSTF2T/NONO/AAR2/PRPF19/STRAP/CSTF1/POLR2F/HNRNPK/RNPS1/LSM5/SNRPC/CLNS1A/PLRG1/DHX8/POLR2E/HSPA8/SF3B5/LSM8/MTREX/DDX39A/FMR1/CPSF3/LUC7L2/SNRPB/CPSF2/POLR2L/METTL3/DDX17/POLR2B/LSM3/GEMIN6/SAP18/RBM10/MFAP1/SRSF7/SF3B2/POLR2C/RBM41/DDX39B/MYOD1/SF3B6/PABPN1/SNRNP40/LSM2/SYNCRIP/POLR2G/SLU7/FUS/RBM15B/SNRPA/SF3A3/SNIP1/MAGOH/SRRT/FXR2/SF3B3/PRPF8/SRSF9/CPSF1/PPIE/HNRNPA2B1/FXR1/NUP98/HNRNPC/DDX41/PABPC1/U2AF2/SF1/SRSF2/HNRNPF/EFTUD2/CPSF7/LSM4/RNPC3/HNRNPH3/BCAS2/UBL5/ZCCHC8/HNRNPM/TRA2A/SRSF1/JMJD6/SNRNP70/LSM7/LSM6/RBM14/PTBP1/SRRM2/WDR83/LARP7/HNRNPA1/DDX5/DDX46/PRDX6/SRPK2/SNRPA1/PRPF40A/HNRNPH1/POLR2J/DHX9/NUDT21/ALYREF/GTF2F1/DDX23/DDX1/NCL/POLR2I/HNRNPA3/PRPF31/SNRPG/HNRNPU/SNRPD2/HNRNPL/SNRPE/CELF1/HNRNPA0/CWC27/PCBP2/RSRC1/MBNL1/WDR33/POLR2D/SNRPF/DDX42/TRA2B/PTBP2/ELAVL1/SNRNP27/PCBP1/PPIH/YBX1/POLR2H/NCBP2/KHDRBS1/DDX20/HNRNPR/KDM1A/SRSF10/SRRM1/RBM8A/WDR77" 175
"GO:1903311" "BP" "GO:1903311" "regulation of mRNA metabolic process" "161/2723" "334/18862" 8.34132380115469e-50 3.01416188885254e-47 1.79842040096722e-47 "CELF4/ROCK1/YWHAB/PSMC6/SON/DYRK1A/PSMA7/PSMD10/SMU1/RBM25/SRSF6/DIS3/SRPK3/SRPK1/NCBP1/RBMX/METTL14/C1QBP/PSMB7/SNW1/SRSF3/APEX1/PRPF19/ZC3H14/CDK9/CCNT1/HNRNPK/ANP32A/RNPS1/PSMA4/RNF20/PSMA3/CPSF6/HSPA8/SAFB/FMR1/PRKCA/EXOSC3/ZFP36L2/METTL3/DDX17/YWHAZ/FASTKD5/SAP18/EXOSC8/VIRMA/RBM10/EXOSC7/CCNB1/SRSF7/AKT1/PAIP1/MTOR/MYOD1/HSPB1/PABPN1/HSPA1A/PSMA1/SYNCRIP/PSMB2/PSMA2/AGO2/PSMC2/POLR2G/BARD1/PSMC5/FUS/RBM15B/SNRPA/CTR9/MAGOH/FXR2/SUPT5H/SRSF9/HNRNPA2B1/PSMD14/NUP214/FXR1/NUP98/ZC3HAV1/SET/EXOSC4/AHCYL1/DHX36/HNRNPC/PABPC1/EXOSC2/U2AF2/SF1/PSMA5/PSMA6/CPSF7/TENT4A/PSMC3/HNRNPM/TRA2A/JMJD6/SNRNP70/FASTK/CNOT6L/SUPT6H/PSMD2/EIF4G1/PTBP1/LARP7/HNRNPA1/DDX5/MYD88/NPM1/UPF1/CNOT1/PRDX6/SRPK2/PSMB6/BTG2/DHX9/NUDT21/RNASEL/XRN1/TNPO1/NCL/PSMD1/HNRNPU/CDC73/HNRNPL/GIGYF2/PSMD7/UBA52/CELF1/HNRNPA0/PSMD4/PUM2/LARP1/UBC/XPO1/MBNL1/UBB/RPS27A/PUM1/KHSRP/TRA2B/EXOSC5/PSME3/ELAVL1/PSMD8/TAF15/PSMB3/PABPC4/YBX1/YTHDF2/RC3H1/NCBP2/SERBP1/ROCK2/KHDRBS1/TARDBP/HNRNPR/SRSF10/RBM8A/MOV10/PSMB4" 161
"GO:0051169" "BP" "GO:0051169" "nuclear transport" "159/2723" "343/18862" 2.17106589258341e-46 7.40936543229994e-44 4.42084879413769e-44 "KPNA3/STYX/GTSE1/RAE1/PSEN1/SRSF5/THOC2/UFM1/RANBP6/UPF2/IPO5/MX2/SRSF6/NUP58/SNRPD3/SDAD1/MAPK1/SNRPD1/ANP32B/TXN/RANGAP1/NCBP1/NUP88/HMGA1/EIF6/MAGOHB/FLNA/CSE1L/SRSF3/HSP90AB1/TCF7L2/PML/IPO8/ANP32A/RPL23/RNPS1/IPO4/NOP9/PPP1R12A/NUP155/JAK2/JUP/CPSF6/LEP/DDX39A/ABCE1/CPSF3/NUTF2/SNRPB/CPSF2/POLDIP3/GEMIN6/NFKBIA/NUP37/UBR5/RIOK2/CDK5/SRSF7/AKT1/BANF1/NUP210/IL1B/DDX39B/RRS1/PARK7/PABPN1/XPO5/NOLC1/GLE1/BARD1/SLU7/RBM15B/MAGOH/DDX19B/DDX19A/EIF4E/GLI3/SRSF9/CPSF1/HNRNPA2B1/NUP54/NUP214/NUP98/SARNP/TP53/NUP62/AHCYL1/ENY2/NOL6/U2AF2/SMAD3/IPO7/SRSF2/EIF5A/NSUN2/RPS15/NEDD4/ATXN1/SEC13/SRSF1/THOC7/RGPD3/SUPT6H/TPR/KPNB1/HNRNPA1/KPNA2/HSPA9/CDH1/LSG1/NPM1/NUP85/PRKACA/UPF1/TGFB1/NMD3/STAT3/DHX9/LRRK2/KPNA4/PPP1CC/ALYREF/SIRT7/CALR/GSK3B/SSB/ECT2/AKAP8L/TNPO1/HDAC3/SNRPG/SNRPD2/YWHAE/SNRPE/PRKAG1/TSC2/HEATR3/RSRC1/PTPN11/RAN/XPO1/WDR33/POLR2D/SNRPF/TRIM28/ELAVL1/AGFG1/SETD2/NCBP2/KPNA1/KHDRBS1/KPNA6/DDX20/TARDBP/RANBP2/CHTOP/SFN/SRRM1/RBM8A" 159
"GO:0000184" "BP" "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" "86/2723" "120/18862" 9.36345567978247e-46 3.02735306531072e-43 1.80629100703615e-43 "RPL3/RPS4X/RPS21/UPF2/HELZ2/NCBP1/RPL36A/RPS24/RPL35/RPS29/MAGOHB/RPS10/RPL12/RPS3A/RPL23/RNPS1/GSPT1/RPS15A/RPS12/RPS3/RPL21/RPL37/RPLP2/RPL30/RPL9/RPL14/RPL7A/RPL31/RPS19/RPS5/PPP2CA/RPL22/RPL7/ETF1/RPL18A/MAGOH/RPL34/RPS16/RPL37A/RPL27/RPL10A/RPLP1/SKIV2L/RPS6/PABPC1/RPL28/RPL26/EIF3E/RPS20/RPL13/RPS18/RPS15/RPS28/RPL18/RPS25/RPL24/RPS11/RPL8/RPL15/RPL23A/EIF4G1/RPL13A/RPL4/UPF1/RPL27A/RPL19/RPS13/RPS14/RPL29/RPS23/RPL32/RPS9/RPL11/UBA52/RPS2/RPL6/RPL36/RPS8/RPL38/RPLP0/RPS27A/RPSA/NCBP2/RPL5/EXOSC10/RBM8A" 86
"GO:0006913" "BP" "GO:0006913" "nucleocytoplasmic transport" "157/2723" "340/18862" 1.52042262710455e-45 4.66997809915161e-43 2.78637451977791e-43 "KPNA3/STYX/GTSE1/RAE1/PSEN1/SRSF5/THOC2/UFM1/RANBP6/UPF2/IPO5/MX2/SRSF6/NUP58/SNRPD3/SDAD1/MAPK1/SNRPD1/ANP32B/TXN/RANGAP1/NCBP1/NUP88/EIF6/MAGOHB/FLNA/CSE1L/SRSF3/HSP90AB1/TCF7L2/PML/IPO8/ANP32A/RPL23/RNPS1/IPO4/NOP9/PPP1R12A/NUP155/JAK2/JUP/CPSF6/LEP/DDX39A/ABCE1/CPSF3/NUTF2/SNRPB/CPSF2/POLDIP3/GEMIN6/NFKBIA/NUP37/UBR5/RIOK2/CDK5/SRSF7/AKT1/NUP210/IL1B/DDX39B/RRS1/PARK7/PABPN1/XPO5/NOLC1/GLE1/BARD1/SLU7/RBM15B/MAGOH/DDX19B/DDX19A/EIF4E/GLI3/SRSF9/CPSF1/HNRNPA2B1/NUP54/NUP214/NUP98/SARNP/TP53/NUP62/AHCYL1/ENY2/NOL6/U2AF2/SMAD3/IPO7/SRSF2/EIF5A/NSUN2/RPS15/NEDD4/ATXN1/SEC13/SRSF1/THOC7/RGPD3/SUPT6H/TPR/KPNB1/HNRNPA1/KPNA2/HSPA9/CDH1/LSG1/NPM1/NUP85/PRKACA/UPF1/TGFB1/NMD3/STAT3/DHX9/LRRK2/KPNA4/PPP1CC/ALYREF/SIRT7/CALR/GSK3B/SSB/ECT2/AKAP8L/TNPO1/HDAC3/SNRPG/SNRPD2/YWHAE/SNRPE/PRKAG1/TSC2/HEATR3/RSRC1/PTPN11/RAN/XPO1/WDR33/POLR2D/SNRPF/TRIM28/ELAVL1/AGFG1/SETD2/NCBP2/KPNA1/KHDRBS1/KPNA6/DDX20/TARDBP/RANBP2/CHTOP/SFN/SRRM1/RBM8A" 157
"GO:0006403" "BP" "GO:0006403" "RNA localization" "122/2723" "234/18862" 1.87348733445447e-42 5.48039652169228e-40 3.26991623988494e-40 "CCT8/RAE1/SRSF5/THOC2/RTRAF/YY1/UPF2/MX2/SRSF6/NUP58/SDAD1/BICD2/NCBP1/NUP88/EIF6/NCBP3/MAGOHB/SRSF3/CCT6A/RNPS1/NOP9/NUP155/DKC1/NAF1/CPSF6/CCT5/DDX39A/ABCE1/FMR1/CPSF3/CCT2/EXOSC3/CETN2/NUTF2/CPSF2/POLDIP3/CCT4/NUP37/TCP1/RIOK2/SRSF7/NUP210/DDX39B/RRS1/PABPN1/NOP10/XPO5/G3BP2/GLE1/TGFBR2/SLU7/RBM15B/MAGOH/DDX19B/RUVBL1/DDX19A/EIF4E/EIF5AL1/SRSF9/CPSF1/HNRNPA2B1/FLOT1/NUP54/NUP214/NUP98/SARNP/NUP62/DHX36/ENY2/NOL6/ATR/EXOSC2/U2AF2/TERF1/SRSF2/NHP2/EIF5A/NSUN2/RPS15/TERF2/EIF5A2/PIH1D1/SEC13/SRSF1/THOC7/CETN3/RUVBL2/SUPT6H/TPR/HNRNPA1/LSG1/NPM1/NUP85/UPF1/NMD3/TOMM20/DHX9/ALYREF/SSB/AKAP8L/HNRNPU/ATM/CCT3/FBL/RAN/XPO1/WDR33/POLR2D/KHSRP/LRPPRC/AGFG1/YBX1/SETD2/NCBP2/NOP58/CCT7/KHDRBS1/EXOSC10/RANBP2/CHTOP/SRRM1/RBM8A" 122
"GO:0071826" "BP" "GO:0071826" "ribonucleoprotein complex subunit organization" "121/2723" "231/18862" 2.16930677223369e-42 6.05729613719616e-40 3.61412735929077e-40 "CELF4/LOC102724159/RPL3/PWP2/EIF2S2/SRSF5/SRSF6/SNRPD3/SNRPD1/SRPK3/PRMT5/EIF3M/SRPK1/NCBP1/EIF6/RBMX/RPS10/HSP90AA1/MDN1/EIF3A/AAR2/PRPF19/HSP90AB1/EIF5/STRAP/DICER1/SNRPC/CLNS1A/DHX8/EIF3L/NAF1/CPSF6/PRKDC/MRPS11/LUC7L2/EIF2S3/SNRPB/EIF3D/GEMIN6/BRIX1/RPF2/RPS19/RPS5/DDX39B/RRS1/VCP/LSM2/AGO4/AGO1/AGO2/EIF3CL/EIF3C/SLU7/SF3A3/EIF3F/RUVBL1/PRPF8/EIF3J/XRCC5/SRSF9/DDX28/BOP1/NOP53/RSL24D1/EIF4H/ATR/EIF3E/SF1/PPAN/EIF3G/EIF4B/CPSF7/LSM4/RPS15/KLC1/RPS28/RPL24/PIH1D1/SRSF1/PTGES3/EIF3B/RUVBL2/NOP2/RPL23A/RPL13A/AGO3/MRPS7/SRPK2/DHX9/RPS14/NUDT21/NLE1/DDX23/DDX1/PRPF31/SNRPG/CDC73/RPL11/SNRPD2/ATM/DHX29/SNRPE/CELF1/TAF9/TARBP2/RPL6/DHX30/RPL38/RPLP0/POLR2D/SNRPF/PTBP2/MRPL20/RPSA/EIF3I/DDX20/RPL5/EIF2D/SRSF10/MRTO4/WDR77" 121
"GO:0022618" "BP" "GO:0022618" "ribonucleoprotein complex assembly" "118/2723" "224/18862" 1.08314900435144e-41 2.89294971031779e-39 1.72609832180857e-39 "CELF4/LOC102724159/RPL3/PWP2/EIF2S2/SRSF5/SRSF6/SNRPD3/SNRPD1/SRPK3/PRMT5/EIF3M/SRPK1/NCBP1/EIF6/RBMX/RPS10/HSP90AA1/MDN1/EIF3A/AAR2/PRPF19/HSP90AB1/EIF5/STRAP/DICER1/SNRPC/CLNS1A/EIF3L/NAF1/CPSF6/PRKDC/MRPS11/LUC7L2/EIF2S3/SNRPB/EIF3D/GEMIN6/BRIX1/RPF2/RPS19/RPS5/DDX39B/RRS1/LSM2/AGO4/AGO1/AGO2/EIF3CL/EIF3C/SLU7/SF3A3/EIF3F/RUVBL1/PRPF8/EIF3J/XRCC5/SRSF9/DDX28/BOP1/NOP53/RSL24D1/EIF4H/ATR/EIF3E/SF1/PPAN/EIF3G/EIF4B/CPSF7/LSM4/RPS15/RPS28/RPL24/PIH1D1/SRSF1/PTGES3/EIF3B/RUVBL2/NOP2/RPL23A/RPL13A/AGO3/MRPS7/SRPK2/DHX9/RPS14/NUDT21/NLE1/DDX23/DDX1/PRPF31/SNRPG/CDC73/RPL11/SNRPD2/ATM/DHX29/SNRPE/CELF1/TAF9/TARBP2/RPL6/DHX30/RPL38/RPLP0/POLR2D/SNRPF/PTBP2/MRPL20/RPSA/EIF3I/DDX20/RPL5/EIF2D/SRSF10/MRTO4/WDR77" 118
"GO:0002181" "BP" "GO:0002181" "cytoplasmic translation" "75/2723" "102/18862" 2.35152521025388e-41 6.01892473607898e-39 3.59123279916842e-39 "DRG1/ZCCHC13/EIF2S2/RPS21/FTSJ1/EIF3M/RPL36A/DNAJC24/RPS29/DRG2/EIF3A/EIF5/GSPT1/EIF3L/FMR1/EIF2S3/RPLP2/METTL3/EIF3D/RPL30/RPL9/RPL31/MTOR/RPL22/ZC3H15/ETF1/EIF3CL/EIF3C/RPL18A/EIF3F/EIF3J/NCK1/RPL22L1/RPL10A/RPLP1/EIF4A1/DHX36/RPL26/EIF4H/EIF3E/EIF3G/EIF4B/RPS28/RPL18/UNK/RPL24/RPL8/EIF3B/RPL15/CNBP/EIF4G1/RPL13A/RPL19/PKM/DHX9/EIF4A2/RPL29/RPS23/RPL32/RPL11/DHX29/RPL26L1/TMA7/RPL6/RPL36/EEF2/EIF2B3/RPL38/RPLP0/RPSA/EIF3I/YTHDF2/EIF2D/LIN28A/DPH5" 75
"GO:0045047" "BP" "GO:0045047" "protein targeting to ER" "82/2723" "120/18862" 3.77665410140449e-41 9.27999445797112e-39 5.53697245519598e-39 "RPL3/RPS4X/RPS21/SEC61B/RPL36A/RPS24/CHMP4B/RPL35/RPS29/RPS10/RPL12/RPS3A/SEC61G/RPL23/CHMP4A/RPS15A/RPS12/RPS3/SRP54/RPL21/RPL37/SRP14/RPLP2/RPL30/RPL9/RPL14/RPL7A/RPL31/HSPA5/RPS19/RPS5/RPL22/RPL7/SPCS1/RPL18A/RPL34/RPS16/RPL37A/RPL27/RPL10A/RPLP1/RPS6/RPL28/RPL26/RPS20/RPL13/RPS18/RPS15/RPS28/RPL18/RPS25/SRP19/RPL24/RPS11/RPL8/RPL15/RPL23A/RPL13A/RPL4/GET3/RPL27A/RPL19/SGTA/RPS13/RPS14/RPL29/RPS23/RPL32/RPS9/RPL11/UBA52/RPS2/RPL6/RPL36/RPS8/RPL38/RPLP0/RPS27A/SEC61A1/RPSA/SEC62/RPL5" 82
